Source,Target,Weight
The Verdict,Cat on a Hot Tin Roof,1
The Verdict,The Hustler,1
The Verdict,Hud,1
The Verdict,Cool Hand Luke,1
The Verdict,Dog Day Afternoon,1
The Verdict,Network,1
The Verdict,Absence of Malice,1
The Verdict,The Color of Money,1
The Verdict,Nobody's Fool,1
The Verdict,Road to Perdition,1
Silver Linings Playbook,The Godfather Part II,1
Silver Linings Playbook,Taxi Driver,1
Silver Linings Playbook,The Deer Hunter,1
Silver Linings Playbook,Raging Bull,1
Silver Linings Playbook,Awakenings,1
Silver Linings Playbook,Cape Fear,1
Silver Linings Playbook,The Fighter,1
Silver Linings Playbook,Winter's Bone,1
Silver Linings Playbook,Animal Kingdom,1
Silver Linings Playbook,American Hustle,5
Silver Linings Playbook,American Sniper,1
Silver Linings Playbook,Joy,1
American Hustle,Junebug,1
American Hustle,Doubt,1
American Hustle,The Fighter,5
American Hustle,Winter's Bone,1
American Hustle,The Master,1
American Hustle,The Big Short,1
American Hustle,Vice,3
American Hustle,American Sniper,1
American Hustle,Joy,1
Night Must Fall,Here Comes Mr. Jordan,1
Going My Way,The Bells of St. Mary's,3
Going My Way,The Country Girl,1
The Bells of St. Mary's,The Country Girl,1
The Bells of St. Mary's,Joan of Arc,1
The Bells of St. Mary's,Anastasia,1
The Bells of St. Mary's,Murder on the Orient Express,1
The Bells of St. Mary's,Autumn Sonata,1
The Hurricane,Cry Freedom,1
The Hurricane,Glory,1
The Hurricane,Malcolm X,1
The Hurricane,Training Day,1
The Hurricane,Flight,1
The Hurricane,Fences,1
The Hurricane,Roman J. Israel,1
Cry Freedom,Training Day,1
Cry Freedom,Fences,1
Glory,Training Day,1
Glory,Fences,1
Malcolm X,Training Day,1
Malcolm X,Fences,1
Training Day,Flight,1
Training Day,Fences,1
Training Day,Roman J. Israel,1
Training Day,Boyhood,1
Flight,Fences,1
Fences,Doubt,1
Fences,The Help,1
Fences,Roman J. Israel,1
Stella Dallas,Ball of Fire,1
Stella Dallas,Double Indemnity,1
Stella Dallas,Sorry  Wrong Number,1
Ball of Fire,Double Indemnity,1
Double Indemnity,Sorry  Wrong Number,1
Double Indemnity,The Lost Weekend,1
Double Indemnity,Stalag 17,1
Double Indemnity,Sabrina,1
Double Indemnity,Some Like It Hot,1
Double Indemnity,The Apartment,1
Goodbye  Mr. Chips,Blossoms in the Dust,1
Goodbye  Mr. Chips,Madame Curie,1
Goodbye  Mr. Chips,Mrs. Parkington,1
Goodbye  Mr. Chips,The Valley of Decision,1
Goodbye  Mr. Chips,Sunrise at Campobello,1
Goodbye  Mr. Chips,Kitty Foyle,1
Goodbye  Mr. Chips,Kings Row,1
Goodbye  Mr. Chips,Lawrence of Arabia,1
Goodbye  Mr. Chips,Becket,1
Goodbye  Mr. Chips,The Ruling Class,1
Goodbye  Mr. Chips,The Stunt Man,1
