Label,Id,category
Bernardo Bertolucci,Bernardo Bertolucci,DIRECTING
Bernardo Bertolucci,Bernardo Bertolucci,DIRECTING
Bessie Love,Bessie Love,ACTRESS
Betsy Blair,Betsy Blair,ACTRESS IN A SUPPORTING ROLE
Bette Davis,Bette Davis,ACTRESS
Bette Davis,Bette Davis,ACTRESS
Bette Davis,Bette Davis,ACTRESS
Bette Davis,Bette Davis,ACTRESS
Bette Davis,Bette Davis,ACTRESS
Bette Davis,Bette Davis,ACTRESS
Bette Davis,Bette Davis,ACTRESS
Bette Davis,Bette Davis,ACTRESS
Bette Davis,Bette Davis,ACTRESS
Bette Davis,Bette Davis,ACTRESS
Bette Davis,Bette Davis,ACTRESS
Bette Midler,Bette Midler,ACTRESS
Bette Midler,Bette Midler,ACTRESS
Betty Compson,Betty Compson,ACTRESS
Beulah Bondi,Beulah Bondi,ACTRESS IN A SUPPORTING ROLE
Beulah Bondi,Beulah Bondi,ACTRESS IN A SUPPORTING ROLE
Bill Murray,Bill Murray,ACTOR
Billie Burke,Billie Burke,ACTRESS IN A SUPPORTING ROLE
Billy Bob Thornton,Billy Bob Thornton,ACTOR
Billy Bob Thornton,Billy Bob Thornton,ACTOR IN A SUPPORTING ROLE
Billy Wilder,Billy Wilder,DIRECTING
Billy Wilder,Billy Wilder,DIRECTING
Billy Wilder,Billy Wilder,DIRECTING
Billy Wilder,Billy Wilder,DIRECTING
Billy Wilder,Billy Wilder,DIRECTING
Billy Wilder,Billy Wilder,DIRECTING
Billy Wilder,Billy Wilder,DIRECTING
Billy Wilder,Billy Wilder,DIRECTING
Bing Crosby,Bing Crosby,ACTOR
Bing Crosby,Bing Crosby,ACTOR
Bing Crosby,Bing Crosby,ACTOR
Bob Fosse,Bob Fosse,DIRECTING
Bob Fosse,Bob Fosse,DIRECTING
Bob Fosse,Bob Fosse,DIRECTING
Bob Hoskins,Bob Hoskins,ACTOR
Bobby Darin,Bobby Darin,ACTOR IN A SUPPORTING ROLE
Bong Joon Ho,Bong Joon Ho,DIRECTING
Bonita Granville,Bonita Granville,ACTRESS IN A SUPPORTING ROLE
Brad Dourif,Brad Dourif,ACTOR IN A SUPPORTING ROLE
Brad Pitt,Brad Pitt,ACTOR
Brad Pitt,Brad Pitt,ACTOR IN A SUPPORTING ROLE
Brad Pitt,Brad Pitt,ACTOR
Brad Pitt,Brad Pitt,ACTOR IN A SUPPORTING ROLE
Bradley Cooper,Bradley Cooper,ACTOR
Bradley Cooper,Bradley Cooper,ACTOR
Bradley Cooper,Bradley Cooper,ACTOR IN A SUPPORTING ROLE
Bradley Cooper,Bradley Cooper,ACTOR
Brandon De Wilde,Brandon De Wilde,ACTOR IN A SUPPORTING ROLE
Brenda Blethyn,Brenda Blethyn,ACTRESS IN A SUPPORTING ROLE
Brenda Blethyn,Brenda Blethyn,ACTRESS
Brenda Fricker,Brenda Fricker,ACTRESS IN A SUPPORTING ROLE
Brenda Vaccaro,Brenda Vaccaro,ACTRESS IN A SUPPORTING ROLE
Brian Aherne,Brian Aherne,ACTOR IN A SUPPORTING ROLE
Brian Donlevy,Brian Donlevy,ACTOR IN A SUPPORTING ROLE
Brie Larson,Brie Larson,ACTRESS
Broderick Crawford,Broderick Crawford,ACTOR
Bruce Beresford,Bruce Beresford,DIRECTING
Bruce Davison,Bruce Davison,ACTOR IN A SUPPORTING ROLE
Bruce Dern,Bruce Dern,ACTOR IN A SUPPORTING ROLE
Bruce Dern,Bruce Dern,ACTOR
Bryan Cranston,Bryan Cranston,ACTOR
Burgess Meredith,Burgess Meredith,ACTOR IN A SUPPORTING ROLE
