Label,Id,category
 Rey Scott for his extraordinary achievement in producing Kukan, Rey Scott for his extraordinary achievement in producing Kukan,SPECIAL AWARD
 Richard Williams for the animation direction of Who Framed Roger Rabbit., Richard Williams for the animation direction of Who Framed Roger Rabbit.,SPECIAL ACHIEVEMENT AWARD
 Robert Altman in recognition of a career that has repeatedly reinvented the art form and inspired filmmakers and audiences alike., Robert Altman in recognition of a career that has repeatedly reinvented the art form and inspired filmmakers and audiences alike.,HONORARY AWARD
 Robert Boyle in recognition of one of cinema's great careers in art direction., Robert Boyle in recognition of one of cinema's great careers in art direction.,HONORARY AWARD
 Robert Redford:  Actor, Robert Redford:  Actor,HONORARY AWARD
 Roger Corman for his rich engendering of films and filmmakers., Roger Corman for his rich engendering of films and filmmakers.,HONORARY AWARD
 Samurai, Samurai,HONORARY FOREIGN LANGUAGE FILM AWARD
 Satyajit Ray, Satyajit Ray,HONORARY AWARD
 Shirley Temple, Shirley Temple,SPECIAL AWARD
 Shoe-Shine - the high quality of this motion picture, Shoe-Shine - the high quality of this motion picture,SPECIAL AWARD
 Sid Grauman, Sid Grauman,SPECIAL AWARD
 Sidney Lumet in recognition of his brilliant services to screenwriters, Sidney Lumet in recognition of his brilliant services to screenwriters,HONORARY AWARD
 Sidney Poitier in recognition of his remarkable accomplishments as an artist and as a human being., Sidney Poitier in recognition of his remarkable accomplishments as an artist and as a human being.,HONORARY AWARD
 Sophia Loren, Sophia Loren,HONORARY AWARD
 Spike Lee, Spike Lee,HONORARY AWARD
 Stan Laurel for his creative pioneering in the field of cinema comedy., Stan Laurel for his creative pioneering in the field of cinema comedy.,HONORARY AWARD
 Stanley Donen in appreciation of a body of work marked by grace, Stanley Donen in appreciation of a body of work marked by grace,HONORARY AWARD
 Steve Martin in recognition of his extraordinary talents and the unique inspiration he has brought to the art of motion pictures., Steve Martin in recognition of his extraordinary talents and the unique inspiration he has brought to the art of motion pictures.,HONORARY AWARD
 The Bicycle Thief - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1949., The Bicycle Thief - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1949.,SPECIAL FOREIGN LANGUAGE FILM AWARD
 The British Ministry of Information for its vivid and dramatic presentation of the heroism of the RAF in the documentary film, The British Ministry of Information for its vivid and dramatic presentation of the heroism of the RAF in the documentary film,SPECIAL AWARD
 The House I Live In, The House I Live In,SPECIAL AWARD
 The March of Time for its significance to motion pictures and for having revolutionized one of the most important branches of the industry - the newsreel., The March of Time for its significance to motion pictures and for having revolutionized one of the most important branches of the industry - the newsreel.,SPECIAL AWARD
 The Motion Picture Relief Fund - acknowledging the outstanding services to the industry during the past year of the Motion Picture Relief Fund and its progressive leadership.  Presented to Jean Hersholt, The Motion Picture Relief Fund - acknowledging the outstanding services to the industry during the past year of the Motion Picture Relief Fund and its progressive leadership.  Presented to Jean Hersholt,SPECIAL AWARD
 The Museum of Modern Art Department of Film for the contribution it has made to the public's perception of movies as an art form., The Museum of Modern Art Department of Film for the contribution it has made to the public's perception of movies as an art form.,HONORARY AWARD
 The Museum of Modern Art Film Library for its significant work in collecting films dating from 1895 to the present and for the first time making available to the public the means of studying the historical and aesthetic development of the motion picture as one of the major arts., The Museum of Modern Art Film Library for its significant work in collecting films dating from 1895 to the present and for the first time making available to the public the means of studying the historical and aesthetic development of the motion picture as one of the major arts.,SPECIAL AWARD
 The Society of Motion Picture and Television Engineers for their contributions to the advancement of the motion picture industry., The Society of Motion Picture and Television Engineers for their contributions to the advancement of the motion picture industry.,HONORARY AWARD
 The Walls of Malapaga - voted by the Board of Governors as the most outstanding foreign language film released in the United States in 1950., The Walls of Malapaga - voted by the Board of Governors as the most outstanding foreign language film released in the United States in 1950.,HONORARY FOREIGN LANGUAGE FILM AWARD
 Vincent Winter for his outstanding juvenile performance in The Little Kidnappers., Vincent Winter for his outstanding juvenile performance in The Little Kidnappers.,HONORARY AWARD
 W. Howard Greene and Harold Rosson for the color cinematography of the Selznick International Production, W. Howard Greene and Harold Rosson for the color cinematography of the Selznick International Production,SPECIAL AWARD
 W. Howard Greene for the color photography of A Star Is Born.  (This Award was recommended by a committee of leading cinematographers after viewing all the color pictures made during the year.), W. Howard Greene for the color photography of A Star Is Born.  (This Award was recommended by a committee of leading cinematographers after viewing all the color pictures made during the year.),SPECIAL AWARD
 Walt Disney, Walt Disney,SPECIAL AWARD
 Walt Disney for Snow White and the Seven Dwarfs, Walt Disney for Snow White and the Seven Dwarfs,SPECIAL AWARD
" Walt Disney for the creation of ""Mickey Mouse."""," Walt Disney for the creation of ""Mickey Mouse.""",SPECIAL AWARD
 Walter Lantz for bringing joy and laughter to every part of the world through his unique animated motion pictures., Walter Lantz for bringing joy and laughter to every part of the world through his unique animated motion pictures.,HONORARY AWARD
 Walter Wanger for distinguished service to the industry in adding to its moral stature in the world community by his production of the picture Joan of Arc., Walter Wanger for distinguished service to the industry in adding to its moral stature in the world community by his production of the picture Joan of Arc.,SPECIAL AWARD
 Walter Wanger for his six years service as President of the Academy of Motion Picture Arts and Sciences., Walter Wanger for his six years service as President of the Academy of Motion Picture Arts and Sciences.,SPECIAL AWARD
