Label,Id,race_ethnicity,sexual_orientation
Helen Mirren,Helen Mirren,White,Straight
Henry Fonda,Henry Fonda,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Hilary Swank,Hilary Swank,White,Straight
Holly Hunter,Holly Hunter,White,Straight
Humphrey Bogart,Humphrey Bogart,White,Straight
Ingrid Bergman,Ingrid Bergman,White,Straight
Ingrid Bergman,Ingrid Bergman,White,Straight
Ingrid Bergman,Ingrid Bergman,White,Straight
Ingrid Bergman,Ingrid Bergman,White,Straight
Ingrid Bergman,Ingrid Bergman,White,Straight
Ingrid Bergman,Ingrid Bergman,White,Straight
Ingrid Bergman,Ingrid Bergman,White,Straight
Ingrid Bergman,Ingrid Bergman,White,Straight
Ingrid Bergman,Ingrid Bergman,White,Straight
Jack Lemmon,Jack Lemmon,White,Straight
Jack Lemmon,Jack Lemmon,White,Straight
Jack Lemmon,Jack Lemmon,White,Straight
Jack Lemmon,Jack Lemmon,White,Straight
Jack Nicholson,Jack Nicholson,White,Straight
Jack Nicholson,Jack Nicholson,White,Straight
Jack Nicholson,Jack Nicholson,White,Straight
Jack Nicholson,Jack Nicholson,White,Straight
Jack Nicholson,Jack Nicholson,White,Straight
Jack Nicholson,Jack Nicholson,White,Straight
Jack Nicholson,Jack Nicholson,White,Straight
Jack Nicholson,Jack Nicholson,White,Straight
Jack Nicholson,Jack Nicholson,White,Straight
Jack Palance,Jack Palance,White,Straight
James Cagney,James Cagney,White,Straight
James Cameron,James Cameron,White,Straight
James Coburn,James Coburn,White,Straight
James Coburn,James Coburn,White,Straight
James Coburn,James Coburn,White,Straight
James Coburn,James Coburn,White,Straight
James Dunn,James Dunn,White,Straight
James L. Brooks,James L. Brooks,White,Straight
Jamie Foxx,Jamie Foxx,Black,Straight
Jane Darwell,Jane Darwell,White,Straight
Jane Fonda,Jane Fonda,White,Straight
Jane Fonda,Jane Fonda,White,Straight
Jane Fonda,Jane Fonda,White,Straight
Jane Fonda,Jane Fonda,White,Straight
Jane Wyman,Jane Wyman,White,Straight
Janet Gaynor,Janet Gaynor,White,Straight
Jared Leto,Jared Leto,White,Straight
Jason Robards,Jason Robards,White,Straight
Jason Robards,Jason Robards,White,Straight
Jason Robards,Jason Robards,White,Straight
Jason Robards,Jason Robards,White,Straight
Jason Robards,Jason Robards,White,Straight
Jason Robards,Jason Robards,White,Straight
Jason Robards,Jason Robards,White,Straight
Jason Robards,Jason Robards,White,Straight
Jason Robards,Jason Robards,White,Straight
Javier Bardem,Javier Bardem,Hispanic,Straight
Jean Dujardin,Jean Dujardin,White,Straight
Jeff Bridges,Jeff Bridges,White,Straight
Jennifer Connelly,Jennifer Connelly,White,Straight
Jennifer Hudson,Jennifer Hudson,Black,Straight
Jennifer Jones,Jennifer Jones,White,Straight
Jeremy Irons,Jeremy Irons,White,Straight
Jerome Robbins,Jerome Robbins,White,Gay/Lesbian
Jessica Lange,Jessica Lange,White,Straight
Jessica Lange,Jessica Lange,White,Straight
Jessica Lange,Jessica Lange,White,Straight
Jessica Lange,Jessica Lange,White,Straight
Jessica Tandy,Jessica Tandy,White,Straight
Jim Broadbent,Jim Broadbent,White,Straight
Jimmy Stewart,Jimmy Stewart,White,Straight
Jo Van Fleet,Jo Van Fleet,White,Straight
Joan Crawford,Joan Crawford,White,Bisexual
Joan Fontaine,Joan Fontaine,White,Straight
Joanne Woodward,Joanne Woodward,White,Straight
Joanne Woodward,Joanne Woodward,White,Straight
Joanne Woodward,Joanne Woodward,White,Straight
Joanne Woodward,Joanne Woodward,White,Straight
Jodie Foster,Jodie Foster,White,Gay/Lesbian
Jodie Foster,Jodie Foster,White,Gay/Lesbian
Jodie Foster,Jodie Foster,White,Gay/Lesbian
Jodie Foster,Jodie Foster,White,Gay/Lesbian
Joe Pesci,Joe Pesci,White,Straight
Joel Coen,Joel Coen,White,Straight
Joel Grey,Joel Grey,White,Gay/Lesbian
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John Ford,John Ford,White,Bisexual
John G. Avildsen,John G. Avildsen,White,Straight
John Gielgud,John Gielgud,White,Gay/Lesbian
John Houseman,John Houseman,White,Straight
John Huston,John Huston,White,Straight
