year_ceremony,category,name,film,winner
1931,ART DIRECTION,Anton Grot,Svengali,FALSE
1931,ART DIRECTION,Richard Day,Whoopee!,FALSE
1931,CINEMATOGRAPHY,Edward Cronjager,Cimarron,FALSE
1931,CINEMATOGRAPHY,Lee Garmes,Morocco,FALSE
1931,CINEMATOGRAPHY,Charles Lang,The Right to Love,FALSE
1931,CINEMATOGRAPHY,"Barney ""Chick"" McGill",Svengali,FALSE
1931,CINEMATOGRAPHY,Floyd Crosby,Tabu,TRUE
1931,DIRECTING,Wesley Ruggles,Cimarron,FALSE
1931,DIRECTING,Clarence Brown,A Free Soul,FALSE
1931,DIRECTING,Lewis Milestone,The Front Page,FALSE
1931,DIRECTING,Josef Von Sternberg,Morocco,FALSE
1931,DIRECTING,Norman Taurog,Skippy,TRUE
1931,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,TRUE
1931,OUTSTANDING PRODUCTION,Fox,East Lynne,FALSE
1931,OUTSTANDING PRODUCTION,The Caddo Company,The Front Page,FALSE
1931,OUTSTANDING PRODUCTION,Paramount Publix,Skippy,FALSE
1931,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Trader Horn,FALSE
1931,SOUND RECORDING,Samuel Goldwyn - United Artists Studio Sound Department,,FALSE
1931,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,FALSE
1931,SOUND RECORDING,Paramount Publix Studio Sound Department,,TRUE
1931,SOUND RECORDING,RKO Radio Studio Sound Department,,FALSE
1931,WRITING,Howard Estabrook,Cimarron,TRUE
1931,WRITING,"Seton I. Miller, Fred Niblo, Jr.",The Criminal Code,FALSE
1931,WRITING,Horace Jackson,Holiday,FALSE
1931,WRITING,"Francis Faragoh, Robert N. Lee",Little Caesar,FALSE
1931,WRITING,"Joseph L. Mankiewicz, Sam Mintz",Skippy,FALSE
1931,WRITING,John Monk Saunders,The Dawn Patrol,TRUE
1931,WRITING,Rowland Brown,The Doorway to Hell,FALSE
1931,WRITING,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",Laughter,FALSE
1931,WRITING,"John Bright, Kubec Glasmon",The Public Enemy,FALSE
1931,WRITING,"Lucien Hubbard, Joseph Jackson",Smart Money,FALSE
1932,ACTOR,Wallace Beery,The Champ,TRUE
1932,ACTOR,Alfred Lunt,The Guardsman,FALSE
1932,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,TRUE
1932,ACTRESS,Marie Dressler,Emma,FALSE
1932,ACTRESS,Lynn Fontanne,The Guardsman,FALSE
1932,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,TRUE
1932,ART DIRECTION,Lazare Meerson,À Nous la Liberté,FALSE
1932,ART DIRECTION,Richard Day,Arrowsmith,FALSE
1932,ART DIRECTION,Gordon Wiles,Transatlantic,TRUE
1932,CINEMATOGRAPHY,Ray June,Arrowsmith,FALSE
1932,CINEMATOGRAPHY,Karl Struss,Dr. Jekyll and Mr. Hyde,FALSE
1932,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,TRUE
1932,DIRECTING,Frank Borzage,Bad Girl,TRUE
1932,DIRECTING,King Vidor,The Champ,FALSE
1932,DIRECTING,Josef Von Sternberg,Shanghai Express,FALSE
1932,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Arrowsmith,FALSE
1932,OUTSTANDING PRODUCTION,Fox,Bad Girl,FALSE
1932,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Champ,FALSE
1932,OUTSTANDING PRODUCTION,First National,Five Star Final,FALSE
1932,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Grand Hotel,TRUE
1932,OUTSTANDING PRODUCTION,Paramount Publix,One Hour with You,FALSE
1932,OUTSTANDING PRODUCTION,Paramount Publix,Shanghai Express,FALSE
1932,OUTSTANDING PRODUCTION,Paramount Publix,The Smiling Lieutenant,FALSE
1932,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Flowers and Trees,TRUE
1932,SHORT SUBJECT (Cartoon),"Leon Schlesinger, Producer",It's Got Me Again,FALSE
1932,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Mickey's Orphans,FALSE
1932,SHORT SUBJECT (Comedy),"Mack Sennett, Producer",The Loud Mouth,FALSE
1932,SHORT SUBJECT (Comedy),"Hal Roach, Producer",The Music Box,TRUE
1932,SHORT SUBJECT (Comedy),RKO Radio,Scratch-As-Catch-Can,FALSE
1932,SHORT SUBJECT (Comedy),RKO Radio,Stout Hearts and Willing Hands,FALSE
1932,SHORT SUBJECT (Novelty),Paramount Publix,Screen Souvenirs,FALSE
1932,SHORT SUBJECT (Novelty),Metro-Goldwyn-Mayer,Swing High,FALSE
1932,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",Wrestling Swordfish,TRUE
1932,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,FALSE
1932,SOUND RECORDING,Paramount Publix Studio Sound Department,,TRUE
1932,SOUND RECORDING,RKO Radio Studio Sound Department,,FALSE
1932,SOUND RECORDING,Warner Bros.-First National Studio Sound Department,,FALSE
1932,WRITING,Sidney Howard,Arrowsmith,FALSE
1932,WRITING,Edwin Burke,Bad Girl,TRUE
1932,WRITING,"Percy Heath, Samuel Hoffenstein",Dr. Jekyll and Mr. Hyde,FALSE
1932,WRITING,Frances Marion,The Champ,TRUE
1932,WRITING,"Grover Jones, William Slavens McNutt",Lady and Gent,FALSE
1932,WRITING,Lucien Hubbard,The Star Witness,FALSE
1932,WRITING,"Adela Rogers St. Johns, Jane Murfin",What Price Hollywood?,FALSE
1932,SPECIAL AWARD," Walt Disney for the creation of ""Mickey Mouse.""",,TRUE
1933,ACTOR,Leslie Howard,Berkeley Square,FALSE
1933,ACTOR,Charles Laughton,The Private Life of Henry VIII,TRUE
1933,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,FALSE
1933,ACTRESS,Katharine Hepburn,Morning Glory,TRUE
1933,ACTRESS,May Robson,Lady for a Day,FALSE
1933,ACTRESS,Diana Wynyard,Cavalcade,FALSE
1933,ART DIRECTION,William S. Darling,Cavalcade,TRUE
1933,ART DIRECTION,"Hans Dreier, Roland Anderson",A Farewell to Arms,FALSE
1933,ART DIRECTION,Cedric Gibbons,When Ladies Meet,FALSE
1933,ASSISTANT DIRECTOR,Percy Ikerd (Fox),,FALSE
1933,ASSISTANT DIRECTOR,William Tummel (Fox),,TRUE
1933,ASSISTANT DIRECTOR,Charles Dorian (Metro-Goldwyn-Mayer),,TRUE
1933,ASSISTANT DIRECTOR,Bunny Dull (Metro-Goldwyn-Mayer),,FALSE
1933,ASSISTANT DIRECTOR,John S. Waters (Metro-Goldwyn-Mayer),,FALSE
1933,ASSISTANT DIRECTOR,Charles Barton (Paramount),,TRUE
1933,ASSISTANT DIRECTOR,Sidney S. Brod (Paramount),,FALSE
1933,ASSISTANT DIRECTOR,Arthur Jacobson (Paramount),,FALSE
1933,ASSISTANT DIRECTOR,Eddie Killey (RKO Radio),,FALSE
1933,ASSISTANT DIRECTOR,Dewey Starkey (RKO Radio),,TRUE
1933,ASSISTANT DIRECTOR,Fred Fox (United Artists),,TRUE
1933,ASSISTANT DIRECTOR,Benjamin Silvey (United Artists),,FALSE
1933,ASSISTANT DIRECTOR,Scott Beal (Universal),,TRUE
1933,ASSISTANT DIRECTOR,Joe McDonough (Universal),,FALSE
1933,ASSISTANT DIRECTOR,W. J. Reiter (Universal),,FALSE
1933,ASSISTANT DIRECTOR,Al Alborn (Warner Bros.),,FALSE
1933,ASSISTANT DIRECTOR,Gordon Hollingshead (Warner Bros.),,TRUE
1933,ASSISTANT DIRECTOR,Frank X. Shaw (Warner Bros.),,FALSE
1933,CINEMATOGRAPHY,"Charles Bryant Lang, Jr.",A Farewell to Arms,TRUE
1933,CINEMATOGRAPHY,George J. Folsey,Reunion in Vienna,FALSE
1933,CINEMATOGRAPHY,Karl Struss,The Sign of the Cross,FALSE
1933,DIRECTING,Frank Lloyd,Cavalcade,TRUE
1933,DIRECTING,Frank Capra,Lady for a Day,FALSE
1933,DIRECTING,George Cukor,Little Women,FALSE
1933,OUTSTANDING PRODUCTION,Fox,Cavalcade,TRUE
1933,OUTSTANDING PRODUCTION,Paramount,A Farewell to Arms,FALSE
1933,OUTSTANDING PRODUCTION,Warner Bros.,42nd Street,FALSE
1933,OUTSTANDING PRODUCTION,Warner Bros.,I Am a Fugitive from a Chain Gang,FALSE
1933,OUTSTANDING PRODUCTION,Columbia,Lady for a Day,FALSE
1933,OUTSTANDING PRODUCTION,RKO Radio,Little Women,FALSE
1933,OUTSTANDING PRODUCTION,London Films,The Private Life of Henry VIII,FALSE
1933,OUTSTANDING PRODUCTION,Paramount,She Done Him Wrong,FALSE
1933,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Smilin' Through,FALSE
1933,OUTSTANDING PRODUCTION,Fox,State Fair,FALSE
1933,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Building a Building,FALSE
1933,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",The Merry Old Soul,FALSE
1933,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Three Little Pigs,TRUE
1933,SHORT SUBJECT (Comedy),"Warren Doane, Producer",Mister Mugg,FALSE
1933,SHORT SUBJECT (Comedy),"Louis Brock, Producer",A Preferred List,FALSE
1933,SHORT SUBJECT (Comedy),"Louis Brock, Producer",So This Is Harris,TRUE
1933,SHORT SUBJECT (Novelty),"Joe Rock, Producer",Krakatoa,TRUE
1933,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Menu,FALSE
1933,SHORT SUBJECT (Novelty),Educational,The Sea,FALSE
1933,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms,TRUE
1933,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",42nd Street,FALSE
1933,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",Gold Diggers of 1933,FALSE
1933,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",I Am a Fugitive from a Chain Gang,FALSE
1933,WRITING,Robert Riskin,Lady for a Day,FALSE
1933,WRITING,"Victor Heerman, Sarah Y. Mason",Little Women,TRUE
1933,WRITING,"Paul Green, Sonya Levien",State Fair,FALSE
1933,WRITING,Robert Lord,One Way Passage,TRUE
1933,WRITING,Frances Marion,The Prizefighter and the Lady,FALSE
1933,WRITING,Charles MacArthur,Rasputin and the Empress,FALSE
1935,ACTOR,Clark Gable,It Happened One Night,TRUE
1935,ACTOR,Frank Morgan,The Affairs of Cellini,FALSE
1935,ACTOR,William Powell,The Thin Man,FALSE
1935,ACTRESS,Claudette Colbert,It Happened One Night,TRUE
1935,ACTRESS,Bette Davis,Of Human Bondage,FALSE
1935,ACTRESS,Grace Moore,One Night of Love,FALSE
1935,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,FALSE
1935,ART DIRECTION,Richard Day,The Affairs of Cellini,FALSE
1935,ART DIRECTION,"Van Nest Polglase, Carroll Clark",The Gay Divorcee,FALSE
1935,ART DIRECTION,"Cedric Gibbons, Fredric Hope",The Merry Widow,TRUE
1935,ASSISTANT DIRECTOR,Cullen Tate,Cleopatra,FALSE
1935,ASSISTANT DIRECTOR,Scott Beal,Imitation of Life,FALSE
1935,ASSISTANT DIRECTOR,John Waters,Viva Villa!,TRUE
1935,CINEMATOGRAPHY,Charles Rosher,The Affairs of Cellini,FALSE
1935,CINEMATOGRAPHY,Victor Milner,Cleopatra,TRUE
1935,CINEMATOGRAPHY,George Folsey,Operator 13,FALSE
1935,DIRECTING,Frank Capra,It Happened One Night,TRUE
1935,DIRECTING,Victor Schertzinger,One Night of Love,FALSE
1935,DIRECTING,W. S. Van Dyke,The Thin Man,FALSE
1935,FILM EDITING,Anne Bauchens,Cleopatra,FALSE
1935,FILM EDITING,Conrad Nervig,Eskimo,TRUE
1935,FILM EDITING,Gene Milford,One Night of Love,FALSE
1935,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein)",The Gay Divorcee,FALSE
1935,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Lost Patrol,FALSE
1935,MUSIC (Scoring),"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",One Night of Love,TRUE
